word,definition,length
balusbus,"(V.) babalusbus winnow (rice).
mamalusbus, pa:balusbus, pakibalusbus,
a:balusbus.
2. to mull over the meaning of something.",8
balut,"(V.) ba’lut, ibalut ‘wrap something’.
magpabalut ‘have someone wrap’; makibalut,
pakibalut, a:balut, mibalut.
(D.) mabalut, makabalut.
(N.) balutan ‘thing wrapped’; pipag-balutan
‘thing used to wrap’.
26",5
balut,"(N.) aged but unhatched duck egg eaten as a
delicacy, snack.",5
banahaw,(N.) name of a mountain.,7
banal,"(D.) holy, sacred.
Ding Banal a Kasulatan ‘The Holy Scriptures’.
(V.) magpakabanal ‘be holy, pretend to be holy,
make oneself holy’.",5
banayad,"(D.) slow (speech) (speed, e.g. in driving).
(V.) banayaran, benayaran ‘reduce speech’;
magbanayad ‘decelerate’.",7
banda,"(N.) musical band.
(D.) mikiba’nda ‘be in possession of a band’.",5
banda,"(Prep.) proceeding, towards.
(V.) magbanda ‘go towards’; ibanda ‘move
something’; a:banda ‘something can be
moved’l.
(D.) makabanda ‘situated towards’.",5
bandalaq,"(N.) a woven basket, large, with handles.",8
bandi,"(N.) wealth, possessions. mikibandi ‘owner’;
ingat-bandi ‘treasurer’; pibandian
‘possessions’.
(V.) pabandi ‘possess, obtain’; pakibandi.
(D.) mabandi ‘owning, rich’; peka-mabandi
‘richest’.",5
banduriya,"(N.) musical combo, usually guitar and violin,
sometimes accordion.",9
banlik,"(N.) silt, erosion.
Name of a sitio in Bacolor.
(D.) mibabanlikan ‘silted over’.",6
bansag,"(N.) alias, nickname.
(D.) famous.
(V.) bansagan, binsagan ‘nickname someone’.",6
bante,"(V.) guard, watch over. magbante, banten,
binte, pa:bante, makibante, pakibante, a:bante.
(N.) bante-plasdan ‘fishpond caretaker’;
bantayan ‘a watching place, waiting shed’.",5
banting,"(N.) wires used to brace nipa houses in
typhoons.
(V.) pa:banting ‘put up bracing wires’.
(D.) mabanting ‘braced’.",7
bantu,"(V.) bantu-an ‘mix, dilute something’.",5
bantut,(D.) mabantut ‘foul-smelling’.,6
banus,"(N.) a furled leaf.
suman-ba’nus ‘a rice delicacy of the suman
type, wrapped in banus’.",5
banwa,"(N.) year; sky; heaven.
pabanwa ‘a whole year, first year’.
(D.) banwaqan ‘annually’; banwa-banwa
‘annua1ly’.
(V.) magpabanwa ‘going on one year’.",5
banyu,(N.) bathroom.,5
bangaq,"(N.) a hardwood, like kamagong.",6
bangaq,"(N.) jar made of clay, often for holding drinking
water.",6
bangal,"(V.) divide, split.
babangal, binangal; bangalan; magpa-bangal;
pabangal; pa:mangal; makibangal; pakibangal.
(N.) kabangal ‘a piece’; pa:mamangal
‘division’.
(D.) mabangal.",6
bangkasu,"(N.) a woven coverless basket, like a salikap
but with rounded corners.",8
bangke,(N.) corpse.,6
bangko,"(N.) bank, where one stores money.
(V.) magpabangko ‘put money in a bank’;
makapagpabangko. (St.) makibangko.",6
bangkuq,(N.) bench.,7
bangkud,"(N.) a tool–long pole with curved metal
blade–used for cutting bamboo.
(V.) bangkuran ‘cut with bangkud’;
pa:bangkud, pakibangkud, a:bangkud.
(D.) me:bangkud.",7
banggera,"(N.) kitchen, storage place. anak-banggera
‘illegitimate child’.",8
bangiq,"(N.) rice crust, the rice at the bottom of the
pot.
(V.) mamangiq.",6
banglu,(D.) mabanglu’ ‘fragrant’.,6
bangnas,"(D.) mabangna’s ‘stale’.
(V.) mangnas, mingnas ‘get stale’.",7
bangungut,"(St./D.) mabangu’ngut ‘have a nightmare, be
affected by a seizure during
sleep. Sometimes fatal and said to be caused
by over-eating of rice. Old folks disapprove
discussing this’.",9
bangus,"(N.) milk-fish.
bangusa’n ‘a disease of skin on face near
mouth, sign of a curse’. mestiso-bangus [used
to tease].",6
bapa,"(N.) uncle.
(St./D./V.) miba’pa, makiba’pa, a:bapa.",4
bara,(N.) obstacle.,4
baraku,"(N.) stud (male hog, goose, cow, horse,
carabao, human).",6
baradu,"(D.) stuck, stopped up. mabaradu, mebaradu,
makabaradu.
(V.) magbaradu. baradwan, beradwan ‘stop
something up’.",6
barag,(N.) a large lizard.,5
barandilyas,"(N.) balustrade, or the part of a wall with
balustrade and shutters.",11
barasu,(N.) bicep. ef. brasus.,6
barbero,"(N.) barber.
barbi’riya ‘barber shop’.",7
barkada,"(N.) gang, one’s group of intimates. kabarka’da
‘one related to speaker as member of same
gang’.
(V.) papagbarkadan ‘make to join a gang’;
a:kabarkada.",7
barena,"(N.) drill, auger.",6
bareta,"(N.) crowbar.
(V.) magbareta ‘use a crowbar’; baretan,
beretan ‘use a crowbar on…’;
pa:bareta, pakibareta, a:bareta, a:pa:bareta.
(D.) mabareta ‘worked on by a crowbar’.",6
bariku,(N.) nickname for Evaristu.,6
baril,"(N.) gun.
(V.) mamari’l ‘shoot’; barila’n ‘shoot
something’; berilan, be:ril.
(D.) mabaril.",5
baroki,"(N.) marble-sized clay balls used as sling-shot
ammunition.",6
barongga,"(V.) i-barongga ‘throw something’; baronggan
‘throw at something’.
(N.) barunggan-lata ‘kick-the-can’.",8
baruq,"(N.) dress, shirt, clothing.
(V.) magba’ruq ‘put on a dress’; mamaruq
‘wearing a dress’; pa:maruwan ‘dress
someone’; makapabaruq.",5
barug,"(V.) barugan ‘beat someone, whip’. berugan,
pemarug.
(D.) mabarug.",5
baruyaq,(V.) fry in flour. a:biruyaq.,7
baryu,"(N.) barrio.
kabaryu, barrio ‘mate’; mamaryu, memaryu
‘barrio folk’.
(V.) makipamaryu ‘be from the same barrio’.",5
basaq,"(V.) read. mama’ saq; a:basaq.
(N.) babasan ‘reader’.",5
basaq,"(D.) mabasa’q ‘wet’. mamasa:masaq ‘moist’.
(V.) magbasa’q ‘get wet’; basa’n ‘wet
something, soak something, irrigate
something’.
(N.) basa’n ‘rag, mop’.",5
basa,"(D.) mabasa, ‘recognized’. kabasa
‘acquaintance’; akabasa; mibasa.",4
basiq,(N.) alcoholic drink made from sugarcane.,5
bastag,(N.) consolation prize.,6
bastardo,(N.) anak-bastardo ‘illegitimate child’.,8
bastun,(N.) cane.,6
bastus,"(D.) rude, crude, improper.
(N.) kabastusan; bastus ‘the name of one of the
suits of cards in monte’.
(V.) bastusan ‘to act crude to someone’;
bistusan.",6
basu,"(N.) drinking-glass.
(V.) magba’su ‘use a glass’.
31",4
basulto,"(N.) a kind of folk song.
(V.) mamasulto, magpabasulto, pabasulto.",7
basura,"(N.) garbage. basure’ru ‘garbageman’;
basuraqan ‘garbage dump’.
(D.) mabasura ‘full of garbage’.",6
bat,"See obat, bakit, ‘why?’.",3
bata,"(V.) magbata’ ‘suffer, tolerate, endure’.
makipibata; pibatan ‘tolerate something’;
ipa:bata ‘make one be patient about
something’.",4
bata,"(N.) long clothing, bathrobe. batang-banyu.",4
batakan,"(D.) resistant, full of endurance.
A piece of wood from guava tree, shaped like a
seven and used in circumcisions.",7
batal,"(N.) neck.
(V.) batala’n ‘hit in the neck’; mipamatal.",5
bateriya,"(N.) battery, e.g. flashlight batteries.",8
baterul,"(N.) small mixing bowl for sauce; see
maninilyu.",7
batibu,(D.) has stamina.,6
batik,(N.) skin blemish.,5
bating,"(D.) mabati’ng ‘lost’.
(V.) mangabating, makabating, a:bating,
pa:mating, ke:mating.",6
batu,"(N.) stone, rock. saki’t king batu’
‘kidney-stones’; batung mete ‘sandstone’;
batung mabye.
(V.) batu-an; be:tu ‘stone someone’.",4
batwin,"(N.) star.
(D.) mabatwi’n ‘starry’.
32",6
batyaq,(N.) a metal pan used for laundry!,6
bau,"(N.) smell.
(V.) babau ‘smell’; bauan ‘smell something’;
a:babau; pa:mau; pa:mauan; makibau;
pakibau; pa:bau.
(D.) mabau.",3
baul,"(N.) box, chest.",4
bawal,"(St./D.) prohibited. makabawal ‘prohibited’;
kabawalbawalan ‘really verboten’.
(V.) bawalan, bewalan ‘prohibit something’;
pa:mawal, pa:bawal, mamawal, pakibawal.",5
bawang,"(N.) garlic; a kind of firecracker.
bawang-bawang ‘a kind of vine the leaf of
which smells like garlic’.",6
bawas,"(N.) deduction, what is missing, what has been
subtracted.
(V.) bawasan, ibawas, bewas.",5
bawiq,(D.) a quality of fruit.,5
baya,"(N.) ember.
(V.) magpabaya ‘make glow’; pabaya ‘make
something glow with heat’.",4
bayabas,"(N.) guava(s), a kind of fruit. bayabasan ‘place
where there are guavas’.
(V.) mamayabas ‘gathering guavas’.",7
bayad,"(N.) payment.
(V.) babayad, mamayad, bayaran, beyaran.",5
bayag,"(N.) testicles.
(V.) bayagan ‘hit in testicles’. pakibayag,
a:pabayag, mipamayag.
(D.) mebayag ‘hurt in the testicles’.",5
bayansel,"(V.) mag-bayansel [Eng. buy-and-sell] ‘work as
a middleman, work on black-market’;
mipagbayansel, pakipayansel.",8
bayat,"(N.) weight.
(V.) babayat ‘get heavy’. a:bayat, papabayatan
‘make heavier’, pasimbayatnan.
(D.) mabayat ‘heavy’.",5
baylyerina,(N.) taxi dancer.,10
bayo,"(N.) 1. affinal siblings.
2. organization ‘brothers’ or ‘sisters’.
(V.) pa:bayo’ ‘pretend to be a bayo’; a:bayo
‘became a bayo’; mibayo ‘be related as bayo’.",4
bayu,"(D.) new, newly. (Subcomb.) before.
(V.) manimayu ‘changing’; mibabayu ‘being
changed’.",4
bayu,"(V.) magbayu ‘pound, grind (rice)’. magpabayu,
maka:bayu, makapagpabayu, pa:bayu,
mangabayu, pakibayu, a:bayu, ibayu, ipamayu.
(D.) mabayu.",4
bayutuk,"(V.) magbayutuk ‘bend, sag’; ibayutuk, beyutuk
‘bend something’; makabayutuk,
makapagbayutuk; mibayutuk, mipabayutuk.",7
bebe,"(N.) edge, especially of a body of water.
(D.) makabebe ‘situated at the edge’.
(V.) bebebe ‘go along the edge’.",4
belen,"(N.) 1. creche, Christmas nativity scene.
2. a female name.",5
bendisyon,"(N.) blessing, benediction.
(V.) magbendisyun, pabendisyon,
be-bendisyunan, mangabendisyunan;
a:bendisyunan, a:pabendisyun, paki-bendisyun.",9
bentenwebe,"(Nu.) twenty-nine.
(N.) a switchblade (29 inches).",10
bentilador,"(N.) electric fan.
(V.) magbentilador ‘use a fan’.",10
benusan,"(N.) furrows, a long line of rice paddies (see
ba’nus ?).",7
benggansa,(N.) vengeance.,9
bengi,"(N.) night, evening. na:be’ngi ‘last night’.
(D.) bengibe’ngi ‘nightly’; ma:be’n-gi ‘be
overtaken by night’.
(V.) magpabe’ngi ‘stay overnight, do something
overnight’; ke:be’ngian ‘be overtaken by night
because of something’.",5
berde,"(N.) green. maberdebe’rde ‘greenish’; kaberjan
‘off-color speech’.",5
besyung,(N.) male nickname for Florencio.,7
betobetoq,"(N.) a gambling game with three dice.
(V.) magbetubetoq ‘play betobeto’.",9
betute,"(N.) a delicacy, stuffed and roasted frog.
[metaphor] ‘a pregnant woman’.",6
bewang,(N.) waist; see awakan.,6
bibi,(N.) duck; see pa’to.,4
bibingka,"(N.) (rice)cake delicacy of many different
varieties, e.g. bibingkang du’man, bibingkang
mai’s.",8
bikan,"(N.) coconut shell.
bikan lalaki ‘(top half of c.s.)’; bikan babai
‘(lower half of c.s.)’. [metaphor] ‘skull’.",5
biko,"(N.) a kind of dessert made from glutinous
rice.",4
bida,"(N.) folk tale, story.",4
bigaq,"(N.) high clouds; halo around the moon.
35",5
biglaq,"(Q.) suddenly, straightaway. bigla:bigla’q.
(V.) pa:biglaq; pa:miglaq ‘do something’;
pamiglan ‘abruptly’.",6
bihilya,"(N.) religious restrictions such as fasting on
specified days.",7
bilad,"(V.) dry in sun (clothes, rice, meat, fish, wood).
i-bilad, pa:bilad, a:bilad.
(D.) me:bilad.
(N.) bilaran ‘place for drying’.",5
bilang,"(N.) count, sum.
bila’ngan; kabilangan ‘total’; pa:-mamilang.
(V.) mamilang, magabilang, bilangan,
pa:bilang, pakibilang.
(D.) mabilang.",6
bilas,"(N.) wife of a brother-in-law or husband of a
sister-in-law.
(St.) mibilasbilas.",5
bilasaq,"(D.) mabila’saq ‘overexposed (humans,
fish-for-sale)’.",7
bili,"(V.) put down, drop.
ibili ‘put something down’; pa:bili, pakibili.",4
bilis,"(D.) mabili’s ‘swift, fast’.
(V.) bilisan ‘speed something up’; ibilis,
pa:malisan, pakibilisan, pa:-bilis, a:bilis.",5
bilug,"(D.) mabi’lug ‘round’.
bilugbi’lug ‘very round’.
(V.) bilu’gan ‘make round’; magbilug ‘form a
circle’; mangabilug, magpabilug, pa:bilug,
pa:milug.
(N.) kabilugan ‘entirety; full moon’.",5
bilyakuq,(N.) a type of banana.,8
binambang,(N.) a type of rice.,9
biniq,"(N.) seed, seedling (fish).",5
bino,"(N.) wine (a medicinal drink)–taken by women
as medication for menstrual difficulties or after
giving birth.",4
binting,"(N.) twenty-five centavo coin.
binting walu ‘thirty-centavo coin’. [given as
examples of obsolete Kapampangan].",7
bintul,"(N.) a net for catching crabs.
(V.) magbintu’l ‘use a bintul’.
mamintul, makapamintul.",6
binyag,"(N.) christening, baptism.
binyagan ‘baptismal ceremony’.
(V.) maminyag ‘perform bap. ceremony’;
binyagan ‘baptise someone’; pa:binyag ‘have
someone baptised’.
(D.) mabinyag.",6
binyas,(N.) the large bones of limbs.,6
binglad,(N.) small grains of milled rice.,7
bingut,(N.) infant.,6
bingut,(N.) harelip.,6
biriya,"(N.) a substance used for patching leaks in
bancas, also used as medicine for boils.",6
biruq,"(N.) joke.
kabiruwa’n ‘one teased’.
(V.) biruwan ‘tease someone’.
pa:biruq, makibiruq, pakibiruq, pa:-miruq.
(D.) mabiruq.",5
bisaq,"(V.) [special–uninflected] ‘want to’.
(D.) mabisaq.",5
bisagra,"(N.) hinge.
(V.) mamisagra ‘install hinges’.",7
bisita,"(N.) visitor; see da’lo. pa:magbisita ‘visitation’.
(V.) mamisita ‘visit’; magbisita ‘visit’;
makibisita, pa:bisita, a:bisita, pakibisita.",6
bisitas,(N.) chapel.,7
bistu,(V.) ma:mistu; bistwan ‘size something up’.,5
bisuguq,(N.) a kind of fish.,7
bisyu,"(N.) vice, hobby, custom, preoccupation.
(V.) magbisyu, mangabisyu, makibisyu.
(D.) mabisyu.",5
bitaul,"(D.) howling (dogs).
(V.) bibitaul, magbitaul.",6
bitbit,"(V.) carry with arm(s) hanging fully extended.
mamitbit, bibitbitan, a:bitbit, kabitbit.",6
bitki,(V.) magbitki’ ‘hang oneself’.,5
bitin,"(N.) python.
(V.) ibitin ‘hug, squeeze someone’.",5
bitinan,"(N.) a kind of basket; holder, railing.",7
bitis,"(N.) foot, feet.",5
bitri,(N.) a kind of rice.,5
bituka,"(N.) intestines.
(D.) me:bituka ‘be hurt in the intestines’.",6
butunis,"(N.) button(s).
(D.) mebitunis ‘buttoned’; makibitunis ‘has
buttons’.",7
biyas,(N.) a segment of sugar-cane.,5
biye,"(N.) life.
(V.) live.
(D.) mabiye ‘alive’.
See bye, bie.",4
biyulin,"(N.) violin.
(V.) magbiyulin ‘play a violin’.",7
bolabola,"(N.) a dish of food consisting of fish or meat
shaped into ball.",8
bolang,"(D.) stupid.
bolangbolang; kabolangan ‘very, very stupid’;
a:bolang; mekabolang.",6
bongabilya,(N.) bouganvillea (a flower).,10
borles,"(V.) magbo’rles ‘go naked, act indecently’.
pa:borles, a:borles, makiborles.
(D.) makaborles ‘indecent, contributing to
indecency’; maborles.",6
bosis,"(N.) voice.
kabo’sis ‘one who has the same-sounding voice
as another’.
(V.) pa:bosis ‘listen to another’s voice (to
establish identity)’.
pakibosis, a:bosis, a:bosisan.",5
boti,"(N.) bottle.
magboboti ‘bottle-buyer’.
(V.) (magboti) ??.
(D.) maboti ‘have plenty of bottles’.",4
botu,"(V.) magbo’tu ‘vote’.
magpabotu ‘get someone to vote’; i-botu ‘vote
for someone’; makabotu, makapagpabotu ‘can
be elected’; pakibotu, a:botu, pa:botu,
pa:motu.
(N.) pipagbotwan ‘polling place, subject voted
on’.",4
brad,(N.) brother (new slang).,4
brasus,(N.) upper arm; c.f. barasu.,6
brek,"(V.) [imperative] ‘stop (the vehicle)’!; magbrek
‘take a break’.",4
britis,(N.) the British.,6
broca,"(N.) brush.
(V.) magbro’ca ‘use a brush’; mamu-roca
[sexual meaning].",5
bruha,"(N.) witch, ugly personality.
(V.) magbru’ha ‘be a witch, act nasty’.",5
bubung,"(N.) bubunga’n ‘roof’.
(V.) magbubung ‘fix a roof’; mag-pabubung ‘get
the roof fixed’; maka-pagpamubung ‘can fix
roofs’; apabubung ‘already had roofed’.
(D.) mebubung ‘roofed’.",6
bubuyan,(N.) a kind of rattan.,7
bukakaq,"(D.) open, unfurled. makabukakaq.",7
bukal,"(V.) boil. bubuka, binukal; mikal, bumukal
‘sprout’; bukala’n ‘give one a lump’;
pa:bukalan; pakibukalan; pakabukalan ‘boil
something thoroughly’.
(D.) mabukal.",5
bukas,"(N.) tomorrow. kabukasan ‘the next day’.
(V.) magpabukas ‘put off till tomorrow’.
(D.) kabukas ‘overnight’; kinabukas ‘spent the
night’.",5
bukayuq,"(N.) candied delicacy.
(V.) magbukayuq/mamukayuq, make b.",7
bukbuk,"(N.) a wood-boring insect.
(D.) mabukbuk ‘bukbuk-infested’. mikabukbuk,
mengabukbukan, bukbukan.",6
buklat,"(V.) open.
bi:klat.
(N.) kabuklat ‘break (of dawn)’. buklatan ‘open
something’; ibuklat, pa:muklat, pa:buklat,
a:buklat, apa-buklat, makabuklat.",6
buksiq,"(N.) gullet (chicken, monkey).
(V.) ma:muksi’q ‘stuff oneself’.",6
bukuq,"(N.) bud of a fruit (coconut, mango) or flower
(sampagita, gumamela).
(V.) ma:mukuq.",5
buku,"(N.) joint, knuckle.
(D./St.) makabuku ‘out of joint’.",4
buktut,"(D.) mabu’ktut ‘pregnant’.
(V.) pa:buktut, a:buktut, ke:buktut.",6
bukud,"(D.) makabu’kud ‘separated’.
(V.) magbu’kud ‘live apart’; paki-bu’kud,
aibukud, mibukud.",5
bukul,"(N.) lump, swelling boil (on skin).
(D./St.) ma:bukul ‘has many lumps’.
ma:bukulan, mi:bukulan, a:bukulan, ke:bukul.",5
bugaq,"(V.) strike with thrown object. mamugaq,
a:bugaq, pakibugaq.",5
bugbug,"(N.) bruise, lump.
(V.) bugbuga’n ‘bruise someone’. mamugbug,
makibugbugan, mibugbugan, makapamugbug.
(D.) mabugbug ‘bruised’.",6
bugin,"(N.) bamboo, thornless variety.",5
bugnus,"(St./D.) mibugnus ‘spent, expended’.",6
bugtuq,"(D.) mabugtuq, mebugtuq ‘gasping (the
manner of breathing of one near death)’.",6
bugtung,"(N.) riddle.
bugtu’ngan ‘riddle contest’; peka-bugtung;
bugtung ayanak ‘only child’.
(V.) bugtungan ‘make riddles’; mi-bugtungan
‘ask each other riddles’.",7
buguk,"(D.) rotten.
mabugukbuguk ‘going crazy’.",5
bula,(N.) kapok; (see bu’lak).,4
